p1,p2,p3,p4,p5,counts,norm_counts
3142196,3309829.0,,,,17,0.000196329787848341
110777,1446874.0,3309829.0,,,17,0.000196329787848341
3131342,,,,,17,0.000196329787848341
2672699,3309829.0,,,,17,0.000196329787848341
4552622,2327105.0,3309829.0,,,16,0.0001847809767984386
1783856,3309829.0,,,,16,0.0001847809767984386
4917092,1446874.0,3309829.0,,,16,0.0001847809767984386
4643336,,,,,16,0.0001847809767984386
4650591,3309829.0,,,,16,0.0001847809767984386
1271760,1446874.0,3309829.0,,,15,0.00017323216574853618
4639086,1446874.0,3309829.0,,,15,0.00017323216574853618
4633775,3309829.0,,,,15,0.00017323216574853618
1547389,2451972.0,3309829.0,,,15,0.00017323216574853618
1870514,1446874.0,3309829.0,,,15,0.00017323216574853618
4859835,3309829.0,,,,15,0.00017323216574853618
1780043,1446874.0,3309829.0,,,14,0.00016168335469863378
3966214,3309829.0,,,,14,0.00016168335469863378
4662258,3309829.0,,,,14,0.00016168335469863378
94306,3309829.0,,,,14,0.00016168335469863378
4813796,,,,,13,0.00015013454364873138
4803422,3491733.0,3309829.0,,,13,0.00015013454364873138
1335960,3131342.0,3309829.0,,,13,0.00015013454364873138
4787289,1446874.0,3309829.0,,,13,0.00015013454364873138
4794086,3309829.0,,,,13,0.00015013454364873138
3353721,1446874.0,3309829.0,,,12,0.00013858573259882895
4392637,3309829.0,,,,12,0.00013858573259882895
4879743,,,,,12,0.00013858573259882895
2745429,1446874.0,3309829.0,,,12,0.00013858573259882895
855828,3309829.0,,,,12,0.00013858573259882895
4467502,1446874.0,3309829.0,,,12,0.00013858573259882895
508150,1446874.0,3309829.0,,,12,0.00013858573259882895
552219,1446874.0,3309829.0,,,12,0.00013858573259882895
4676559,2715446.0,3309829.0,,,12,0.00013858573259882895
4928869,,,,,12,0.00013858573259882895
1799219,1446874.0,3309829.0,,,12,0.00013858573259882895
4633923,3309829.0,,,,11,0.00012703692154892655
2907054,2215691.0,3309829.0,,,11,0.00012703692154892655
4670586,3309829.0,,,,11,0.00012703692154892655
4797488,1446874.0,3309829.0,,,11,0.00012703692154892655
4094003,,,,,11,0.00012703692154892655
2190145,1446874.0,3309829.0,,,11,0.00012703692154892655
4493143,3309829.0,,,,11,0.00012703692154892655
2686165,3131342.0,3309829.0,,,11,0.00012703692154892655
4625579,,,,,11,0.00012703692154892655
4482990,3309829.0,,,,11,0.00012703692154892655
4812355,1446874.0,3309829.0,,,11,0.00012703692154892655
522944,1446874.0,3309829.0,,,11,0.00012703692154892655
2078366,3309829.0,,,,11,0.00012703692154892655
327194,3309829.0,,,,10,0.00011548811049902413
3712065,1446874.0,3309829.0,,,10,0.00011548811049902413
1877230,,,,,10,0.00011548811049902413
4626991,2327105.0,3309829.0,,,10,0.00011548811049902413
4808793,3607105.0,3309829.0,,,10,0.00011548811049902413
301207,1446874.0,3309829.0,,,10,0.00011548811049902413
2702177,3309829.0,,,,10,0.00011548811049902413
1446874,3309827.0,,,,10,0.00011548811049902413
4665804,3309829.0,,,,10,0.00011548811049902413
4722188,3309829.0,,,,10,0.00011548811049902413
506821,1424619.0,3309829.0,,,10,0.00011548811049902413
4655280,3309829.0,,,,9,0.00010393929944912172
4796919,1446874.0,3309829.0,,,9,0.00010393929944912172
1666090,,,,,9,0.00010393929944912172
2736890,1446874.0,3309829.0,,,9,0.00010393929944912172
4634344,3309829.0,,,,9,0.00010393929944912172
1633955,4929981.0,1446874.0,3309829.0,,9,0.00010393929944912172
4797615,4808255.0,1446874.0,3309829.0,,9,0.00010393929944912172
2586163,1446874.0,3309829.0,,,9,0.00010393929944912172
4928500,3309829.0,,,,9,0.00010393929944912172
1040219,3309829.0,,,,9,0.00010393929944912172
230593,2327105.0,3309829.0,,,9,0.00010393929944912172
1798851,1446874.0,3309829.0,,,9,0.00010393929944912172
4793423,4649601.0,,,,9,0.00010393929944912172
4444067,3309829.0,,,,9,0.00010393929944912172
4638825,1446874.0,3309829.0,,,9,0.00010393929944912172
1975103,3309829.0,,,,9,0.00010393929944912172
400790,3309829.0,,,,9,0.00010393929944912172
2987045,1774978.0,3309829.0,,,9,0.00010393929944912172
2730786,1446874.0,3309829.0,,,9,0.00010393929944912172
2853438,1446874.0,3309829.0,,,9,0.00010393929944912172
3434257,1446874.0,3309829.0,,,9,0.00010393929944912172
3131342,3309827.0,,,,9,0.00010393929944912172
300213,1446874.0,3309829.0,,,9,0.00010393929944912172
1378658,3309829.0,,,,8,9.23904883992193e-05
1847220,1446874.0,3309829.0,,,8,9.23904883992193e-05
4842102,3309829.0,,,,8,9.23904883992193e-05
4797325,1446874.0,3309829.0,,,8,9.23904883992193e-05
4755927,3309829.0,,,,8,9.23904883992193e-05
4117785,4913336.0,,,,8,9.23904883992193e-05
3889572,1446874.0,3309829.0,,,8,9.23904883992193e-05
4924402,3309829.0,,,,8,9.23904883992193e-05
4917020,3309829.0,,,,8,9.23904883992193e-05
4725525,4512942.0,3309829.0,,,8,9.23904883992193e-05
4943663,1446874.0,3309829.0,,,8,9.23904883992193e-05
910489,1446874.0,3309829.0,,,8,9.23904883992193e-05
25717,1446874.0,3309829.0,,,8,9.23904883992193e-05
4663179,3309829.0,,,,8,9.23904883992193e-05
4821653,,,,,8,9.23904883992193e-05
132267,,,,,8,9.23904883992193e-05
2082555,3309829.0,,,,8,9.23904883992193e-05
1780195,4530864.0,,,,8,9.23904883992193e-05
1271770,4808255.0,1446874.0,3309829.0,,8,9.23904883992193e-05
1505778,2383299.0,1446874.0,3309829.0,,8,9.23904883992193e-05
2086533,1446874.0,3309829.0,,,8,9.23904883992193e-05
4225608,4929981.0,1446874.0,3309829.0,,8,9.23904883992193e-05
4361880,2327105.0,3309829.0,,,8,9.23904883992193e-05
1345163,1446874.0,3309829.0,,,8,9.23904883992193e-05
1739841,3309829.0,,,,7,8.084167734931689e-05
296044,3309829.0,,,,7,8.084167734931689e-05
3087719,1774978.0,3309829.0,,,7,8.084167734931689e-05
2616716,3309829.0,,,,7,8.084167734931689e-05
4652016,3309829.0,,,,7,8.084167734931689e-05
4746387,1446874.0,3309829.0,,,7,8.084167734931689e-05
4692722,1446874.0,3309829.0,,,7,8.084167734931689e-05
1588081,1446874.0,3309829.0,,,7,8.084167734931689e-05
4477898,3309829.0,,,,7,8.084167734931689e-05
954822,3309829.0,,,,7,8.084167734931689e-05
4667484,1446874.0,3309829.0,,,7,8.084167734931689e-05
4747464,3309829.0,,,,7,8.084167734931689e-05
2562088,3309829.0,,,,7,8.084167734931689e-05
1778130,3309829.0,,,,7,8.084167734931689e-05
1014714,1446874.0,3309829.0,,,7,8.084167734931689e-05
4158706,1446874.0,3309829.0,,,7,8.084167734931689e-05
4676609,1446874.0,3309829.0,,,7,8.084167734931689e-05
2256795,3309829.0,,,,7,8.084167734931689e-05
3676854,3131342.0,3309829.0,,,7,8.084167734931689e-05
4887672,3309829.0,,,,7,8.084167734931689e-05
4917371,4808255.0,1446874.0,3309829.0,,7,8.084167734931689e-05
4837384,3309829.0,,,,7,8.084167734931689e-05
825275,4390069.0,3309829.0,,,7,8.084167734931689e-05
4639715,1446874.0,3309829.0,,,7,8.084167734931689e-05
3494903,3309829.0,,,,7,8.084167734931689e-05
4672462,1446874.0,3309829.0,,,7,8.084167734931689e-05
4636820,3309829.0,,,,7,8.084167734931689e-05
287536,3607105.0,3309829.0,,,7,8.084167734931689e-05
1599527,3309829.0,,,,7,8.084167734931689e-05
4940770,1446874.0,3309829.0,,,7,8.084167734931689e-05
1216673,3309829.0,,,,7,8.084167734931689e-05
4660368,3309829.0,,,,7,8.084167734931689e-05
422268,1446874.0,3309829.0,,,7,8.084167734931689e-05
3491735,3309829.0,,,,6,6.929286629941447e-05
1573205,3309829.0,,,,6,6.929286629941447e-05
2709173,3309829.0,,,,6,6.929286629941447e-05
4779051,3131342.0,3309829.0,,,6,6.929286629941447e-05
2698459,1446874.0,3309829.0,,,6,6.929286629941447e-05
4811093,1446874.0,3309829.0,,,6,6.929286629941447e-05
1446876,3309828.0,,,,6,6.929286629941447e-05
1525384,2879911.0,2327105.0,3309829.0,,6,6.929286629941447e-05
4632655,1446874.0,3309829.0,,,6,6.929286629941447e-05
4886125,1446874.0,3309829.0,,,6,6.929286629941447e-05
2898622,3708694.0,3309829.0,,,6,6.929286629941447e-05
1809370,4926501.0,,,,6,6.929286629941447e-05
4864037,3309829.0,,,,6,6.929286629941447e-05
348651,4913336.0,,,,6,6.929286629941447e-05
4798711,1446874.0,3309829.0,,,6,6.929286629941447e-05
3490175,,,,,6,6.929286629941447e-05
593633,3309829.0,,,,6,6.929286629941447e-05
4732015,3309829.0,,,,6,6.929286629941447e-05
4936952,3131342.0,3309829.0,,,6,6.929286629941447e-05
2418359,3309829.0,,,,6,6.929286629941447e-05
4654128,4390069.0,3309829.0,,,6,6.929286629941447e-05
4931313,3309829.0,,,,6,6.929286629941447e-05
2790961,3309829.0,,,,6,6.929286629941447e-05
2127938,3309829.0,,,,6,6.929286629941447e-05
4899873,3309829.0,,,,6,6.929286629941447e-05
1692027,994476.0,1446874.0,3309829.0,,6,6.929286629941447e-05
54172,3491733.0,3309829.0,,,6,6.929286629941447e-05
4930824,4790788.0,2327105.0,3309829.0,,6,6.929286629941447e-05
3868382,1446874.0,3309829.0,,,6,6.929286629941447e-05
4936402,,,,,6,6.929286629941447e-05
4943740,3309829.0,,,,6,6.929286629941447e-05
2635128,4808255.0,1446874.0,3309829.0,,6,6.929286629941447e-05
4736741,1446874.0,3309829.0,,,6,6.929286629941447e-05
2972791,3309829.0,,,,6,6.929286629941447e-05
1206133,3309829.0,,,,6,6.929286629941447e-05
4832808,,,,,6,6.929286629941447e-05
