p1,p2,p3,p4,p5,counts,norm_counts
1446874,3309829.0,,,,8047,0.162015784811146
3309829,,,,,7684,0.1547072561810421
4808255,1446874.0,3309829.0,,,5567,0.11208423934927922
1169730,,,,,1703,0.03428767012966095
4676793,,,,,1309,0.026354997181283722
2327105,3309829.0,,,,1049,0.021120238382862207
3712065,1446874.0,3309829.0,,,770,0.015502939518402191
3131342,3309829.0,,,,482,0.009704437464766047
3607105,3309829.0,,,,294,0.005919304179753564
4507582,1446874.0,3309829.0,,,264,0.005315293549166465
4790788,2327105.0,3309829.0,,,261,0.005254892486107755
2431715,3309829.0,,,,243,0.004892486107755496
3202180,3309829.0,,,,185,0.003724732221953773
4929981,1446874.0,3309829.0,,,163,0.0032817910928565675
505692,1446874.0,3309829.0,,,155,0.0031207215913666747
4390069,3309829.0,,,,150,0.0030200531529354915
2943071,3309829.0,,,,117,0.0023556414592896834
2853438,1446874.0,3309829.0,,,99,0.0019932350809374246
3491733,3309829.0,,,,97,0.0019529677055649512
4919011,,,,,85,0.001711363453330112
4505640,1446874.0,3309829.0,,,84,0.0016912297656438754
4629587,4676793.0,,,,81,0.0016308287025851656
4808793,3607105.0,3309829.0,,,80,0.001610695014898929
4935383,4928869.0,,,,79,0.0015905613272126924
4868853,4676793.0,,,,73,0.0014697592010952725
4666479,3712065.0,1446874.0,3309829.0,,71,0.0014294918257227993
4806049,1446874.0,3309829.0,,,67,0.001348957074977853
4926933,1446874.0,3309829.0,,,64,0.0012885560119191431
4797340,1446874.0,3309829.0,,,64,0.0012885560119191431
419531,4676793.0,,,,61,0.0012281549488604333
1271770,4808255.0,1446874.0,3309829.0,,53,0.0010670854473705403
4808256,1446874.0,3309829.0,,,53,0.0010670854473705403
4928869,,,,,52,0.0010469517596843037
4936402,,,,,52,0.0010469517596843037
234740,3309829.0,,,,51,0.001026818071998067
1587789,,,,,47,0.0009462833212531207
4638411,1446874.0,3309829.0,,,46,0.0009261496335668841
3623149,4808255.0,1446874.0,3309829.0,,45,0.0009060159458806475
4497909,4808255.0,1446874.0,3309829.0,,44,0.0008858822581944109
4797615,4808255.0,1446874.0,3309829.0,,43,0.0008657485705081743
3309828,,,,,43,0.0008657485705081743
4648145,1446874.0,3309829.0,,,38,0.0007650801320769912
4552622,2327105.0,3309829.0,,,38,0.0007650801320769912
848080,1446874.0,3309829.0,,,36,0.000724812756704518
4544751,4676793.0,,,,36,0.000724812756704518
4629858,1446874.0,3309829.0,,,34,0.0006845453813320448
4751949,3309829.0,,,,34,0.0006845453813320448
4205836,,,,,32,0.0006442780059595716
2209183,4390069.0,3309829.0,,,32,0.0006442780059595716
1801221,1446874.0,3309829.0,,,32,0.0006442780059595716
4807624,,,,,32,0.0006442780059595716
1446875,3309829.0,,,,32,0.0006442780059595716
4811823,2327105.0,3309829.0,,,31,0.000624144318273335
131580,1446874.0,3309829.0,,,31,0.000624144318273335
1446874,3309828.0,,,,30,0.0006040106305870984
1446876,3309829.0,,,,29,0.0005838769429008618
1424619,3309829.0,,,,28,0.0005637432552146252
994476,1446874.0,3309829.0,,,28,0.0005637432552146252
3868226,3309829.0,,,,28,0.0005637432552146252
1309764,,,,,28,0.0005637432552146252
200449,2327105.0,3309829.0,,,27,0.0005436095675283885
796691,4808255.0,1446874.0,3309829.0,,26,0.0005234758798421519
2826817,1446874.0,3309829.0,,,25,0.0005033421921559153
4861436,1446874.0,3309829.0,,,25,0.0005033421921559153
4790597,1446874.0,3309829.0,,,24,0.00048320850446967865
4915261,4808255.0,1446874.0,3309829.0,,23,0.00046307481678344205
2809999,3309829.0,,,,22,0.00044294112909720545
4902321,,,,,22,0.00044294112909720545
4802829,4808793.0,3607105.0,3309829.0,,21,0.00042280744141096884
3035617,1446874.0,3309829.0,,,21,0.00042280744141096884
4071476,4808255.0,1446874.0,3309829.0,,21,0.00042280744141096884
4808255,1446876.0,3309829.0,,,19,0.0003825400660384956
816227,1446874.0,3309829.0,,,18,0.000362406378352259
1758085,4808255.0,1446874.0,3309829.0,,18,0.000362406378352259
1285237,1446874.0,3309829.0,,,17,0.0003422726906660224
230593,2327105.0,3309829.0,,,16,0.0003221390029797858
1403171,3202180.0,3309829.0,,,16,0.0003221390029797858
3309827,,,,,16,0.0003221390029797858
1446877,3309829.0,,,,16,0.0003221390029797858
216022,2327105.0,3309829.0,,,16,0.0003221390029797858
2899593,4676793.0,,,,16,0.0003221390029797858
4787289,1446874.0,3309829.0,,,15,0.0003020053152935492
4664294,3309829.0,,,,15,0.0003020053152935492
4859835,3309829.0,,,,15,0.0003020053152935492
506821,1424619.0,3309829.0,,,15,0.0003020053152935492
2260337,3309829.0,,,,15,0.0003020053152935492
4916963,1446874.0,3309829.0,,,15,0.0003020053152935492
4813796,,,,,14,0.0002818716276073126
3966214,3309829.0,,,,14,0.0002818716276073126
4665157,,,,,14,0.0002818716276073126
1799219,1446874.0,3309829.0,,,14,0.0002818716276073126
4868854,4676793.0,,,,14,0.0002818716276073126
1692027,994476.0,1446874.0,3309829.0,,13,0.0002617379399210759
2635128,4808255.0,1446874.0,3309829.0,,13,0.0002617379399210759
770361,4676793.0,,,,13,0.0002617379399210759
2025747,816227.0,1446874.0,3309829.0,,13,0.0002617379399210759
4889473,4808255.0,1446874.0,3309829.0,,12,0.00024160425223483932
2732792,4811533.0,,,,12,0.00024160425223483932
4117785,4913336.0,,,,12,0.00024160425223483932
4397908,4676793.0,,,,11,0.00022147056454860272
3995672,1446874.0,3309829.0,,,11,0.00022147056454860272
2745429,1446874.0,3309829.0,,,11,0.00022147056454860272
3910160,1446874.0,3309829.0,,,11,0.00022147056454860272
1786048,1446874.0,3309829.0,,,11,0.00022147056454860272
2147156,1446874.0,3309829.0,,,11,0.00022147056454860272
1030081,4808255.0,1446874.0,3309829.0,,11,0.00022147056454860272
1305771,3309829.0,,,,11,0.00022147056454860272
4916403,,,,,11,0.00022147056454860272
4928500,3309829.0,,,,11,0.00022147056454860272
1446874,,,,,11,0.00022147056454860272
4808255,3309829.0,,,,11,0.00022147056454860272
522944,1446874.0,3309829.0,,,10,0.00020133687686236612
1312387,3309829.0,,,,10,0.00020133687686236612
257933,4676793.0,,,,10,0.00020133687686236612
4743585,3131342.0,3309829.0,,,10,0.00020133687686236612
4640468,4808255.0,1446874.0,3309829.0,,10,0.00020133687686236612
1271760,1446874.0,3309829.0,,,10,0.00020133687686236612
1785079,4808255.0,1446874.0,3309829.0,,10,0.00020133687686236612
4175562,4808255.0,1446874.0,3309829.0,,10,0.00020133687686236612
1505778,2383299.0,1446874.0,3309829.0,,10,0.00020133687686236612
1963096,3309829.0,,,,10,0.00020133687686236612
4878082,4808255.0,1446874.0,3309829.0,,10,0.00020133687686236612
422268,1446874.0,3309829.0,,,10,0.00020133687686236612
4676795,,,,,10,0.00020133687686236612
1179247,1446874.0,3309829.0,,,9,0.0001812031891761295
4627859,1446874.0,3309829.0,,,9,0.0001812031891761295
4639086,1446874.0,3309829.0,,,9,0.0001812031891761295
1844067,3050645.0,1271770.0,4808255.0,1446874.0,9,0.0001812031891761295
301207,1446874.0,3309829.0,,,9,0.0001812031891761295
3588903,1446874.0,3309829.0,,,9,0.0001812031891761295
1140745,3309829.0,,,,9,0.0001812031891761295
4717152,3309829.0,,,,9,0.0001812031891761295
4797163,3712065.0,1446874.0,3309829.0,,9,0.0001812031891761295
4808257,1446874.0,3309829.0,,,9,0.0001812031891761295
2383299,1446874.0,3309829.0,,,9,0.0001812031891761295
3673885,3309829.0,,,,9,0.0001812031891761295
2798903,4632079.0,4808255.0,1446874.0,3309829.0,9,0.0001812031891761295
4159015,4676793.0,,,,9,0.0001812031891761295
4666140,4676793.0,,,,9,0.0001812031891761295
1798851,1446874.0,3309829.0,,,9,0.0001812031891761295
4737753,,,,,9,0.0001812031891761295
1820829,1446874.0,3309829.0,,,9,0.0001812031891761295
4919889,1014714.0,1446874.0,3309829.0,,8,0.0001610695014898929
1040219,3309829.0,,,,8,0.0001610695014898929
2790961,3309829.0,,,,8,0.0001610695014898929
4498526,3712065.0,1446874.0,3309829.0,,8,0.0001610695014898929
790183,3309829.0,,,,8,0.0001610695014898929
4808255,1446874.0,3309827.0,,,8,0.0001610695014898929
4860620,4808255.0,1446874.0,3309829.0,,8,0.0001610695014898929
2326417,1446874.0,3309829.0,,,8,0.0001610695014898929
1663064,4790788.0,2327105.0,3309829.0,,8,0.0001610695014898929
2082555,3309829.0,,,,8,0.0001610695014898929
4922824,1446874.0,3309829.0,,,8,0.0001610695014898929
3889572,1446874.0,3309829.0,,,8,0.0001610695014898929
2488587,3309829.0,,,,8,0.0001610695014898929
4808255,1446874.0,,,,8,0.0001610695014898929
2809781,2635128.0,4808255.0,1446874.0,3309829.0,8,0.0001610695014898929
4050526,3309829.0,,,,8,0.0001610695014898929
1184511,1446874.0,3309829.0,,,8,0.0001610695014898929
4668330,,,,,8,0.0001610695014898929
4626437,1446874.0,3309829.0,,,8,0.0001610695014898929
119738,1446874.0,3309829.0,,,8,0.0001610695014898929
1838750,3309829.0,,,,8,0.0001610695014898929
