p1,p2,p3,p4,p5,counts,norm_counts
4808255,1446874.0,3309829.0,,,8032,0.15967873402119243
3309829,,,,,5489,0.10912307906403451
1446874,3309829.0,,,,4369,0.0868571201367766
3712065,1446874.0,3309829.0,,,2619,0.05206655931293613
1169730,,,,,1071,0.021291823224190373
4676793,,,,,1025,0.020377328482535137
4666479,3712065.0,1446874.0,3309829.0,,521,0.01035764696526908
3607105,3309829.0,,,,446,0.008866622929961631
2327105,3309829.0,,,,423,0.008409375559134014
4808793,3607105.0,3309829.0,,,367,0.0072960776127711175
2853438,1446874.0,3309829.0,,,334,0.00664002703723584
4915261,4808255.0,1446874.0,3309829.0,,275,0.005467088129460647
4390069,3309829.0,,,,177,0.00351881672332558
4071476,4808255.0,1446874.0,3309829.0,,152,0.0030218087115564305
4507582,1446874.0,3309829.0,,,149,0.0029621677501441325
3131342,3309829.0,,,,133,0.0026440826226118764
505692,1446874.0,3309829.0,,,128,0.0025446810202580466
4808256,1446874.0,3309829.0,,,113,0.0022464762131965566
1271770,4808255.0,1446874.0,3309829.0,,89,0.001769348521898173
4929981,1446874.0,3309829.0,,,88,0.001749468201427407
3623149,4808255.0,1446874.0,3309829.0,,87,0.001729587880956641
4802829,4808793.0,3607105.0,3309829.0,,84,0.001669946919544343
3202180,3309829.0,,,,71,0.0014115027534243852
4902321,,,,,71,0.0014115027534243852
4497909,4808255.0,1446874.0,3309829.0,,64,0.0012723405101290233
4427451,3309829.0,,,,64,0.0012723405101290233
2943071,3309829.0,,,,62,0.0012325798691874912
4790788,2327105.0,3309829.0,,,62,0.0012325798691874912
4806049,1446874.0,3309829.0,,,61,0.0012126995487167253
2483577,3712065.0,1446874.0,3309829.0,,57,0.0011331782668336614
2209183,4390069.0,3309829.0,,,57,0.0011331782668336614
3175516,3607105.0,3309829.0,,,52,0.0010337766644798313
4928869,,,,,49,0.0009741357030675334
2431715,3309829.0,,,,47,0.0009343750621260015
4868853,4676793.0,,,,46,0.0009144947416552355
4797615,4808255.0,1446874.0,3309829.0,,46,0.0009144947416552355
1333020,3309829.0,,,,44,0.0008747341007137035
4505640,1446874.0,3309829.0,,,42,0.0008349734597721715
1140745,3309829.0,,,,41,0.0008150931393014055
3354739,3150337.0,3115709.0,3712065.0,1446874.0,41,0.0008150931393014055
4638411,1446874.0,3309829.0,,,39,0.0007753324983598735
3309828,,,,,36,0.0007156915369475756
1446876,3309829.0,,,,36,0.0007156915369475756
419531,4676793.0,,,,35,0.0006958112164768096
4629587,4676793.0,,,,34,0.0006759308960060436
4797163,3712065.0,1446874.0,3309829.0,,34,0.0006759308960060436
4825327,4808255.0,1446874.0,3309829.0,,33,0.0006560505755352777
4889473,4808255.0,1446874.0,3309829.0,,32,0.0006361702550645116
1446875,3309829.0,,,,32,0.0006361702550645116
4837384,3309829.0,,,,31,0.0006162899345937456
1587789,,,,,29,0.0005765292936522137
131580,1446874.0,3309829.0,,,29,0.0005765292936522137
4704104,1446874.0,3309829.0,,,28,0.0005566489731814477
2899593,4676793.0,,,,27,0.0005367686527106817
1624778,1446874.0,3309829.0,,,26,0.0005168883322399157
4844221,,,,,26,0.0005168883322399157
2082555,3309829.0,,,,25,0.0004970080117691497
4865273,3309829.0,,,,24,0.0004771276912983837
4926933,1446874.0,3309829.0,,,23,0.0004572473708276177
796691,4808255.0,1446874.0,3309829.0,,23,0.0004572473708276177
4651754,3712065.0,1446874.0,3309829.0,,22,0.00043736705035685175
3712063,1446874.0,3309829.0,,,21,0.00041748672988608577
4808255,1446876.0,3309829.0,,,21,0.00041748672988608577
4205836,,,,,21,0.00041748672988608577
1758085,4808255.0,1446874.0,3309829.0,,21,0.00041748672988608577
4936402,,,,,20,0.0003976064094153198
4797340,1446874.0,3309829.0,,,20,0.0003976064094153198
4908707,4808793.0,3607105.0,3309829.0,,20,0.0003976064094153198
2025747,816227.0,1446874.0,3309829.0,,20,0.0003976064094153198
4070684,4808255.0,1446874.0,3309829.0,,19,0.0003777260889445538
1801221,1446874.0,3309829.0,,,19,0.0003777260889445538
4815709,3607105.0,3309829.0,,,19,0.0003777260889445538
4860620,4808255.0,1446874.0,3309829.0,,19,0.0003777260889445538
4835542,3712065.0,1446874.0,3309829.0,,19,0.0003777260889445538
1891954,1446874.0,3309829.0,,,18,0.0003578457684737878
2912696,4651754.0,3712065.0,1446874.0,3309829.0,17,0.0003379654480030218
230593,2327105.0,3309829.0,,,17,0.0003379654480030218
234740,3309829.0,,,,17,0.0003379654480030218
4808255,3309829.0,,,,16,0.0003180851275322558
4935383,4928869.0,,,,16,0.0003180851275322558
4799534,4666479.0,3712065.0,1446874.0,3309829.0,16,0.0003180851275322558
112116,3309829.0,,,,16,0.0003180851275322558
4432360,3309829.0,,,,16,0.0003180851275322558
1844067,3050645.0,1271770.0,4808255.0,1446874.0,16,0.0003180851275322558
4676795,,,,,15,0.00029820480706148984
515333,3309829.0,,,,15,0.00029820480706148984
2265872,3131342.0,3309829.0,,,15,0.00029820480706148984
4498526,3712065.0,1446874.0,3309829.0,,15,0.00029820480706148984
816227,1446874.0,3309829.0,,,14,0.00027832448659072386
4677629,4808255.0,1446874.0,3309829.0,,14,0.00027832448659072386
1944036,3309829.0,,,,14,0.00027832448659072386
4440661,3309829.0,,,,14,0.00027832448659072386
4811823,2327105.0,3309829.0,,,14,0.00027832448659072386
4643930,4802829.0,4808793.0,3607105.0,3309829.0,13,0.00025844416611995783
2765612,3607105.0,3309829.0,,,13,0.00025844416611995783
4660644,815975.0,4505640.0,1446874.0,3309829.0,13,0.00025844416611995783
4663832,1446874.0,3309829.0,,,13,0.00025844416611995783
3712065,1446876.0,3309829.0,,,13,0.00025844416611995783
2665916,1624778.0,1446874.0,3309829.0,,12,0.00023856384564919185
