p1,p2,p3,p4,p5,counts,norm_counts
3309829,,,,,9756,0.18726965601965603
4808255,1446874.0,3309829.0,,,4746,0.09110104422604423
1446874,3309829.0,,,,4718,0.09056357493857493
3712065,1446874.0,3309829.0,,,1320,0.02533783783783784
2853438,1446874.0,3309829.0,,,1132,0.02172911547911548
4915261,4808255.0,1446874.0,3309829.0,,901,0.01729499385749386
3175516,3607105.0,3309829.0,,,752,0.014434889434889435
3209286,,,,,692,0.013283169533169534
3607105,3309829.0,,,,572,0.01097972972972973
4704104,1446874.0,3309829.0,,,544,0.010442260442260442
1169730,,,,,449,0.008618703931203932
4738232,,,,,358,0.0068719287469287465
2327105,3309829.0,,,,310,0.005950552825552825
4483440,4915261.0,4808255.0,1446874.0,3309829.0,243,0.004664465601965602
4804503,3309829.0,,,,241,0.004626074938574938
4611443,,,,,198,0.003800675675675676
1587789,,,,,185,0.0035511363636363635
1624778,1446874.0,3309829.0,,,157,0.0030136670761670764
965642,1446874.0,3309829.0,,,145,0.002783323095823096
4941168,524308.0,894193.0,3209286.0,,143,0.0027449324324324326
4902321,,,,,142,0.0027257371007371007
1944036,3309829.0,,,,140,0.0026873464373464375
4676793,,,,,123,0.0023610257985257985
2665916,1624778.0,1446874.0,3309829.0,,118,0.00226504914004914
4926933,1446874.0,3309829.0,,,114,0.002188267813267813
4507582,1446874.0,3309829.0,,,112,0.00214987714987715
2621924,1446874.0,3309829.0,,,111,0.002130681818181818
4390069,3309829.0,,,,107,0.0020539004914004915
4862730,4915261.0,4808255.0,1446874.0,3309829.0,106,0.0020347051597051596
4915261,4808255.0,1446875.0,3309829.0,,95,0.001823556511056511
520924,4808255.0,1446874.0,3309829.0,,92,0.001765970515970516
4427451,3309829.0,,,,90,0.0017275798525798526
4790788,2327105.0,3309829.0,,,90,0.0017275798525798526
4371399,,,,,90,0.0017275798525798526
4900065,4930699.0,1169730.0,,,90,0.0017275798525798526
4666479,3712065.0,1446874.0,3309829.0,,86,0.0016507985257985258
4903025,1611935.0,,,,84,0.0016124078624078623
4808793,3607105.0,3309829.0,,,79,0.001516431203931204
524308,894193.0,3209286.0,,,78,0.0014972358722358723
4929981,1446874.0,3309829.0,,,73,0.0014012592137592139
1782486,,,,,73,0.0014012592137592139
1140745,3309829.0,,,,68,0.0013052825552825552
4811698,4915261.0,4808255.0,1446874.0,3309829.0,67,0.0012860872235872236
3034388,3309829.0,,,,65,0.00124769656019656
1844067,3050645.0,1271770.0,4808255.0,1446874.0,63,0.0012093058968058968
4808256,1446874.0,3309829.0,,,61,0.0011709152334152333
184560,4811823.0,2327105.0,3309829.0,,60,0.0011517199017199017
3309828,,,,,58,0.0011133292383292384
4627202,,,,,58,0.0011133292383292384
4652048,3175516.0,3607105.0,3309829.0,,57,0.0010941339066339066
4844221,,,,,55,0.0010557432432432433
4888641,3309829.0,,,,54,0.0010365479115479114
4937241,4029663.0,4808255.0,1446874.0,3309829.0,53,0.0010173525798525798
4687721,4902321.0,,,,52,0.0009981572481572482
1333020,3309829.0,,,,51,0.0009789619164619165
4811823,2327105.0,3309829.0,,,49,0.000940571253071253
4704104,1446874.0,4577072.0,3309829.0,,46,0.000882985257985258
4815709,3607105.0,3309829.0,,,44,0.0008445945945945946
4795184,4915261.0,4808255.0,1446874.0,3309829.0,44,0.0008445945945945946
4726709,1446874.0,3309829.0,,,44,0.0008445945945945946
4479613,3209286.0,,,,43,0.0008253992628992629
4808255,1446875.0,3309829.0,,,42,0.0008062039312039312
4808255,1446874.0,3309828.0,,,37,0.0007102272727272727
4096938,3309829.0,,,,37,0.0007102272727272727
142381,1446874.0,3309829.0,,,36,0.000691031941031941
2853437,1446874.0,3309829.0,,,36,0.000691031941031941
2765612,3607105.0,3309829.0,,,36,0.000691031941031941
463495,3309829.0,,,,36,0.000691031941031941
2082555,3309829.0,,,,36,0.000691031941031941
4071476,4808255.0,1446874.0,3309829.0,,35,0.0006718366093366094
1446874,3309828.0,,,,34,0.0006526412776412776
4908674,,,,,34,0.0006526412776412776
1446875,3309829.0,,,,30,0.0005758599508599509
4797144,3607105.0,3309829.0,,,30,0.0005758599508599509
4915261,4808255.0,1446877.0,3309829.0,,29,0.0005566646191646192
3302390,1446874.0,3309829.0,,,27,0.0005182739557739557
4825126,,,,,26,0.0004990786240786241
112116,3309829.0,,,,26,0.0004990786240786241
1547652,3309829.0,,,,25,0.0004798832923832924
